GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WrzasqPl::Cognito::Client data provider,pl.wrzasq.cform.data.cognito.client.config,LambdaResourcesFactory,105,0,0,0,12,0,10,0,10,0
WrzasqPl::Cognito::Client data provider,pl.wrzasq.cform.data.cognito.client.config,LambdaResourcesFactory.getResourceTypeReference.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
WrzasqPl::Cognito::Client data provider,pl.wrzasq.cform.data.cognito.client.config,LambdaResourcesFactory.deleteHandler.new Function0() {...},4,0,0,0,1,0,1,0,1,0
WrzasqPl::Cognito::Client data provider,pl.wrzasq.cform.data.cognito.client.config,LambdaResourcesFactory.readHandler.new Function0() {...},7,0,0,0,1,0,1,0,1,0
WrzasqPl::Cognito::Client data provider,pl.wrzasq.cform.data.cognito.client.config,LambdaResourcesFactory.createHandler.new Function0() {...},8,0,0,0,1,0,1,0,1,0
WrzasqPl::Cognito::Client data provider,pl.wrzasq.cform.data.cognito.client.config,LambdaResourcesFactory.getRequestTypeReference.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
WrzasqPl::Cognito::Client data provider,pl.wrzasq.cform.data.cognito.client.model,ResourceModelKt,0,51,0,0,0,9,0,2,0,2
WrzasqPl::Cognito::Client data provider,pl.wrzasq.cform.data.cognito.client.model,ResourceModel.Companion,4,2,0,0,2,1,2,1,2,1
WrzasqPl::Cognito::Client data provider,pl.wrzasq.cform.data.cognito.client.model,ResourceModel,32,36,6,0,7,7,5,8,2,8
WrzasqPl::Cognito::Client data provider,pl.wrzasq.cform.data.cognito.client.action,ReadHandler,0,131,0,2,0,23,0,5,0,4
WrzasqPl::Cognito::Client data provider,pl.wrzasq.cform.data.cognito.client.action,DeleteHandler,0,23,0,0,0,2,0,2,0,2
WrzasqPl::Cognito::Client data provider,pl.wrzasq.cform.data.cognito.client.action,CreateHandler,0,29,0,0,0,3,0,2,0,2
