GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CloudFormation macro processor.,pl.wrzasq.cform.macro.apigateway,ApiMethod,3,260,0,6,0,44,1,11,1,8
CloudFormation macro processor.,pl.wrzasq.cform.macro.apigateway,ApiAuthorizer,3,111,0,2,0,20,1,6,1,5
CloudFormation macro processor.,pl.wrzasq.cform.macro.apigateway,ApiRequestValidator,3,70,0,0,0,14,1,3,1,3
CloudFormation macro processor.,pl.wrzasq.cform.macro.apigateway,ApiModel,3,109,2,2,0,24,3,4,1,4
CloudFormation macro processor.,pl.wrzasq.cform.macro.apigateway,ApiGatewayKt,0,20,0,0,0,2,0,2,0,2
CloudFormation macro processor.,pl.wrzasq.cform.macro.apigateway,ApiGateway,15,784,3,36,1,86,4,35,1,15
CloudFormation macro processor.,pl.wrzasq.cform.macro.apigateway,UtilsKt,0,11,0,0,0,2,0,1,0,1
CloudFormation macro processor.,pl.wrzasq.cform.macro.apigateway,ApiTemplateResourceKt,6,5,0,0,1,1,1,1,1,1
CloudFormation macro processor.,pl.wrzasq.cform.macro.apigateway,ApiMethodKt,1,67,1,3,1,13,1,5,0,4
CloudFormation macro processor.,pl.wrzasq.cform.macro.apigateway,ApiGatewayManagerKt,0,11,0,0,0,2,0,1,0,1
CloudFormation macro processor.,pl.wrzasq.cform.macro.apigateway,ApiGatewayManager,4,343,2,20,0,44,2,20,0,11
CloudFormation macro processor.,pl.wrzasq.cform.macro.apigateway,ApiResource,3,68,0,0,0,14,1,3,1,3
CloudFormation macro processor.,pl.wrzasq.cform.macro.matrix,MatricesManager,24,462,5,37,0,51,5,28,0,12
CloudFormation macro processor.,pl.wrzasq.cform.macro.matrix,Matrix,36,145,2,6,0,23,2,9,0,7
CloudFormation macro processor.,pl.wrzasq.cform.macro.matrix,MatricesManagerKt,0,26,0,0,0,5,0,2,0,2
