GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.config,LambdaResourcesFactory.Companion,17,0,0,0,3,0,1,0,1,0
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.config,LambdaResourcesFactory.lambdaHandler.new Function0() {...},16,0,0,0,3,0,1,0,1,0
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.config,LambdaResourcesFactory.getResourceTypeReference.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.config,LambdaResourcesFactory.getRequestTypeReference.new TypeReference() {...},3,0,0,0,1,0,1,0,1,0
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.config,LambdaResourcesFactory,157,0,0,0,19,0,12,0,12,0
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.config,LambdaResourcesFactory.lambdaHandler.2.new ResourceLambdaHandler() {...},57,0,4,0,8,0,6,0,4,0
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.config,LambdaResourcesFactory.readHandler.new Function0() {...},7,0,0,0,1,0,1,0,1,0
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.config,LambdaResourcesFactory.updateHandler.new Function0() {...},11,0,0,0,1,0,1,0,1,0
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.config,LambdaResourcesFactory.createHandler.new Function0() {...},10,0,0,0,1,0,1,0,1,0
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.config,LambdaResourcesFactory.deleteHandler.new Function0() {...},7,0,0,0,1,0,1,0,1,0
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.action,DeleteHandler,0,245,0,4,0,49,0,9,0,7
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.action,CreateHandlerKt,0,36,0,0,0,10,0,2,0,2
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.action,UpdateHandler,4,567,2,16,0,94,2,19,0,12
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.action,CreateHandler,5,378,3,17,0,73,3,16,0,8
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.action,ReadHandler,0,253,0,2,0,41,0,6,0,5
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.model,ResourceModelKt,0,229,0,0,0,42,0,8,0,8
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.model,ResourceModel,51,64,8,0,10,11,6,16,2,16
WrzasqPl::AWS::Account resource,pl.wrzasq.cform.resource.aws.account.model,ResourceModel.Companion,4,2,0,0,2,1,2,1,2,1
